Target Distance: 100 , Step Size: 20 
0: (x, y) = ( 0, 0 )
1: (x, y) = ( 18.9936, 6.26458 )
2: (x, y) = ( -19.7468, -3.17245 )
3: (x, y) = ( 16.6845, 11.0285 )
4: (x, y) = ( 19.993, -0.53042 )
5: (x, y) = ( -12.251, -15.8087 )
6: (x, y) = ( 16.7818, -10.8799 )
7: (x, y) = ( -0.973272, 19.9763 )
8: (x, y) = ( 2.3836, 19.8575 )
9: (x, y) = ( -2.55927, -19.8356 )
10: (x, y) = ( -3.43375, -19.703 )
11: (x, y) = ( 17.8401, 9.04052 )
12: (x, y) = ( 2.20834, -19.8777 )
13: (x, y) = ( 13.6, 14.6642 )
14: (x, y) = ( -18.6344, 7.26343 )
15: (x, y) = ( 8.64302, 18.036 )
16: (x, y) = ( 17.335, 9.97479 )
17: (x, y) = ( -19.9992, -0.177026 )
18: (x, y) = ( -19.9366, -1.59157 )
19: (x, y) = ( -5.50327, -19.2279 )
20: (x, y) = ( 12.5294, -15.5889 )
21: (x, y) = ( -15.3079, -12.8712 )
22: (x, y) = ( 10.6572, -16.9241 )
23: (x, y) = ( 19.9992, -0.176423 )
24: (x, y) = ( 18.8207, -6.7661 )
25: (x, y) = ( -15.6446, 12.4598 )
26: (x, y) = ( -18.9937, 6.264 )
27: (x, y) = ( 7.01595, -18.729 )
28: (x, y) = ( -17.5938, -9.511 )
29: (x, y) = ( 17.6773, 9.3549 )
30: (x, y) = ( 8.80286, -17.9586 )
31: (x, y) = ( -19.6221, -3.86947 )
32: (x, y) = ( 17.2464, -10.1273 )
33: (x, y) = ( -18.1492, 8.40279 )
34: (x, y) = ( -0.265535, 19.9982 )
35: (x, y) = ( -19.389, -4.90562 )
36: (x, y) = ( -5.67267, -19.1787 )
37: (x, y) = ( 4.81977, -19.4106 )
38: (x, y) = ( -19.9992, -0.177026 )
39: (x, y) = ( -3.43375, -19.703 )
After 39 steps, the subject has the following location 
(x,y) = ( -5.07751, -114.116)
or 
(m, a) = (114.229, -92.5477 )
Average outward distance per step = 2.92894
Target Distance: 400 , Step Size: 20 
0: (x, y) = ( -3.43375, -19.703 )
1: (x, y) = ( -9.93387, -1.14815 )
2: (x, y) = ( -7.42174, 6.70207 )
3: (x, y) = ( -9.99961, -0.0885131 )
4: (x, y) = ( -7.36193, -6.76772 )
5: (x, y) = ( 5.6975, -8.21818 )
6: (x, y) = ( 9.349, -3.5491 )
7: (x, y) = ( -9.99961, -0.0885131 )
8: (x, y) = ( -9.3489, -3.54938 )
9: (x, y) = ( -9.38005, 3.46621 )
10: (x, y) = ( 4.63802, 8.85939 )
11: (x, y) = ( 7.76686, -6.29888 )
12: (x, y) = ( 8.48554, 5.29108 )
13: (x, y) = ( 7.42154, 6.70229 )
14: (x, y) = ( -9.93387, -1.14815 )
15: (x, y) = ( 2.58131, -9.6611 )
16: (x, y) = ( 9.25136, 3.79636 )
